year,geography,occupancy_label,target,typology_column,n_obs,r_squared,mse,coef_const,pval_const,coef_typology_At Risk of Becoming Exclusive,pval_typology_At Risk of Becoming Exclusive,coef_typology_At Risk of Gentrification,pval_typology_At Risk of Gentrification,coef_typology_Becoming Exclusive,pval_typology_Becoming Exclusive,coef_typology_Early/Ongoing Gentrification,pval_typology_Early/Ongoing Gentrification,coef_typology_High Student Population,pval_typology_High Student Population,coef_typology_Low-Income/Susceptible to Displacement,pval_typology_Low-Income/Susceptible to Displacement,coef_typology_Ongoing Displacement,pval_typology_Ongoing Displacement,coef_typology_Stable Moderate/Mixed Income,pval_typology_Stable Moderate/Mixed Income,coef_typology_Stable/Advanced Exclusive,pval_typology_Stable/Advanced Exclusive,coef_typology_Unavailable or Unreliable Data,pval_typology_Unavailable or Unreliable Data,coef_majority_typology_At Risk of Becoming Exclusive,pval_majority_typology_At Risk of Becoming Exclusive,coef_majority_typology_At Risk of Gentrification,pval_majority_typology_At Risk of Gentrification,coef_majority_typology_Becoming Exclusive,pval_majority_typology_Becoming Exclusive,coef_majority_typology_Early/Ongoing Gentrification,pval_majority_typology_Early/Ongoing Gentrification,coef_majority_typology_High Student Population,pval_majority_typology_High Student Population,coef_majority_typology_Low-Income/Susceptible to Displacement,pval_majority_typology_Low-Income/Susceptible to Displacement,coef_majority_typology_Ongoing Displacement,pval_majority_typology_Ongoing Displacement,coef_majority_typology_Stable Moderate/Mixed Income,pval_majority_typology_Stable Moderate/Mixed Income,coef_majority_typology_Stable/Advanced Exclusive,pval_majority_typology_Stable/Advanced Exclusive,coef_majority_typology_Unavailable or Unreliable Data,pval_majority_typology_Unavailable or Unreliable Data
2018,Atlanta_City+Buffer,Investment_Property,total_apps,typology,191,0.17132581701555682,299.05418160259944,24.9999999999999,6.279282039837728e-06,-0.19999999999999984,0.9746251955032574,4.695652173913033,0.4730402537428363,-4.599999999999987,0.6326857605008523,-5.666666666666674,0.4800209469626042,-10.0,0.21330289587234016,9.371428571428567,0.12977509905877124,18.76923076923076,0.010921492724115276,-5.70000000000002,0.34855159334979646,-6.4,0.3666406205902928,-24.0,0.19873443271088614,,,,,,,,,,,,,,,,,,,,
2018,Atlanta_City+Buffer,Investment_Property,denial_rate,typology,191,0.10094296684819581,0.021856939225504978,0.2858175914994088,3.304585566117859e-09,-0.039790367729739005,0.45950454529018436,0.026164363205645306,0.639881310378439,-0.024971030652848718,0.7614741639386571,0.010002514320696054,0.8839830045508663,0.017602445253960375,0.7973503192750933,0.05222679518018694,0.3224646636441779,0.04840134989288972,0.4388904588216396,-0.06357170692747369,0.22175828996512303,-0.05393447461629278,0.373494004178028,-0.2858175914994095,0.07403091204522809,,,,,,,,,,,,,,,,,,,,
2018,Atlanta_City+Buffer,Investment_Property,conversion_rate,typology,191,0.18005805663365027,0.016817734218906352,0.5505347840100163,1.2337204357253592e-29,0.03525172275111452,0.45504285041901094,-0.08625457852388298,0.07988176796997612,-0.019263927502785938,0.7894954404215422,0.008455867235505461,0.8881613609825888,0.03991646771574551,0.507029716518858,-0.027047257588300285,0.5587788418715571,-0.08054768385463021,0.14281882541100605,0.039753493928444225,0.38323806977340746,0.08476057359344806,0.11170826057847437,0.4494652159899835,0.001514305835097359,,,,,,,,,,,,,,,,,,,,
2018,Atlanta_City+Buffer,Principal_Residence,total_apps,typology,189,0.27841233310911795,16303.061879801564,202.09090909090952,8.264694763177954e-07,83.14242424242414,0.07388919222309419,-119.99999999999997,0.014184464341286692,21.70909090909093,0.7593690333355478,-93.75757575757567,0.11362181897099187,-140.97979797979792,0.017854918191112883,-66.46233766233755,0.14453681228632426,-120.32167832167835,0.026417199228234475,50.659090909091,0.25826004783688467,37.975757575757356,0.4668568557330445,,,,,,,,,,,,,,,,,,,,,,
2018,Atlanta_City+Buffer,Principal_Residence,denial_rate,typology,189,0.4474792794467847,0.007563791917594719,0.2843922829921706,1.4842913381936758e-20,-0.05154568561265942,0.10351786850688346,0.1216204682186383,0.0003024484634543931,-0.11301928736041132,0.020135332594566246,-0.021857772429613433,0.5870019181169737,-0.003385531402337636,0.932923260039616,0.08873985589373917,0.004561392832337957,0.09797023135308391,0.008142751966135885,-0.07177604336689099,0.01939721669588189,-0.07341764079176445,0.039928414670008336,,,,,,,,,,,,,,,,,,,,,,
2018,Atlanta_City+Buffer,Principal_Residence,conversion_rate,typology,189,0.45237670523125717,0.007071491398777487,0.5527735836636958,9.724047923254287e-51,0.04444924913423189,0.14621212305762188,-0.11718494008574883,0.00031697924069686804,0.124379409332592,0.008312733564184223,0.016843207211402256,0.6650444151946722,0.024115320783374007,0.5354420072710311,-0.08318974739410545,0.005924859526643073,-0.12654294649327158,0.00045083085092819834,0.06022312752492481,0.04210719736075077,0.06923690509106772,0.04502969997528887,,,,,,,,,,,,,,,,,,,,,,
2018,Atlanta_City+Buffer,Second_Residence,total_apps,typology,167,0.15010097778714826,21.47350377604462,4.900000000000002,0.0014488387182217577,2.566666666666662,0.14335884505285326,-1.788888888888896,0.3440630211915443,8.100000000000005,0.004744553780173209,-1.733333333333337,0.48351673755941904,1.4749999999999996,0.5162298196004216,-0.9322580645161329,0.5924614179134744,-1.3444444444444468,0.5412593161490138,1.5210526315789448,0.371901793801514,-0.20769230769231034,0.9178438946254625,,,,,,,,,,,,,,,,,,,,,,
2018,Atlanta_City+Buffer,Second_Residence,denial_rate,typology,163,0.1444770814699815,0.08874987751638841,0.5089031339031334,1.813949995331461e-06,-0.2117082789496581,0.0731344870359051,-0.008903133903133575,0.9440962274835677,-0.24327813390313371,0.18994474656001598,0.11054131054131093,0.4962111534714735,-0.30602614977614906,0.04225170389691395,-0.08855921855921824,0.4497396639037833,-0.055199430199429314,0.7038721108673915,-0.2507173284804865,0.029345480851754598,-0.36488603988604007,0.006943371007157887,,,,,,,,,,,,,,,,,,,,,,
2018,Atlanta_City+Buffer,Second_Residence,conversion_rate,typology,167,0.14695610057958208,0.083692649098286,0.2958333333333336,0.0020489610402882044,0.2295680044593087,0.03669618075441762,0.0967592592592589,0.41218828344715863,0.3535173160173161,0.04692648521286506,0.0013888888888885786,0.9928191861898354,0.33120300751879683,0.02053222825714052,0.18566133687101422,0.08905004713549051,0.14675925925925906,0.2860248517260661,0.32458372943853886,0.002596563606561093,0.4519688644688646,0.00042422043155453815,,,,,,,,,,,,,,,,,,,,,,
2018,Clayton,Investment_Property,total_apps,typology,44,0.11983733163149124,99.51293706293706,16.999999999999993,0.009235152670592222,8.250000000000004,0.2633834032277552,-1.3076923076922986,0.8501672213315231,,,-8.999999999999988,0.4722239145223409,,,0.5000000000000093,0.9420196242086913,,,1.8000000000000034,0.8196230191101237,,,,,,,,,,,,,,,,,,,,,,,,
