year,geo_group,occupancy_label,target,n_obs,r_squared,mse,coef_const,pval_const,coef_udp_Vulnerable,pval_udp_Vulnerable,coef_udp_Gentrifying,pval_udp_Gentrifying
2018,City_Counties,Investment_Property,total_apps,325,0.09998533572996193,80.03505551989421,9.790322580645155,2.1978044349916725e-38,4.479947689625104,4.158237053073975e-05,9.316820276497687,5.431043879116275e-07
2018,City_Counties,Investment_Property,denial_rate,323,0.03271596814734501,0.031083749350191404,0.13535424956137804,6.737981281869606e-22,0.06849394321579041,0.001425496297951975,0.049808480005466386,0.16664664984956867
2018,City_Counties,Investment_Property,conversion_rate,325,0.03604467326243799,0.04027220104721056,0.6909658014274862,1.5362204217245365e-145,-0.07925843615827047,0.0011608669760732602,-0.07501432666307697,0.06735248610037448
2018,City_Counties,Principal_Residence,total_apps,334,0.0984703823643075,7851.215792384634,137.978947368421,2.8394779953506142e-64,-62.55653357531756,6.292443755987617e-09,-37.0503759398496,0.040534505562296964
2018,City_Counties,Principal_Residence,denial_rate,334,0.11525330418104351,0.007435714713206702,0.11288806153540186,7.573164580195645e-51,0.06543522044728856,4.976928307820032e-10,0.049085407519089644,0.00542072094244829
2018,City_Counties,Principal_Residence,conversion_rate,334,0.13297481530949684,0.010340218736325636,0.690920438262683,1.158922460995304e-239,-0.07475580333469753,1.5781278849771868e-09,-0.09874667363738887,2.695878453568319e-06
2018,City_Counties,Second_Residence,total_apps,249,0.0291926302885952,11.462638794779911,3.974683544303797,2.0120630870789696e-35,-1.2486561470435231,0.01016105223342942,-1.0857946554149094,0.20126282041922716
2018,City_Counties,Second_Residence,denial_rate,227,0.0076626093301136455,0.07862208487931148,0.15136717355607915,6.532710195374642e-10,0.044098764015121625,0.2938618653104773,0.07154949311058761,0.33697439533638807
2018,City_Counties,Second_Residence,conversion_rate,249,0.0023467933864006474,0.12204607163880593,0.6490136934910155,6.620068971720113e-64,-0.024682317104844684,0.6201809688985589,-0.05739111853510723,0.5121894784717529
2018,Non_City_Counties,Investment_Property,total_apps,380,0.006699163088488502,106.2692943439184,11.593406593406595,7.190829848998471e-55,-1.6240188383045577,0.18349449621684924,2.6288156288156284,0.4538763631238689
2018,Non_City_Counties,Investment_Property,denial_rate,378,0.011546314814982694,0.02564976206859266,0.10961151263308117,1.5179061317138875e-25,0.03446819023628891,0.071633770751294,0.06629637577480724,0.22436391737630504
2018,Non_City_Counties,Investment_Property,conversion_rate,380,0.007969601436546458,0.039126969331583335,0.7136381203482242,2.0469563614070315e-193,-0.029269298948836512,0.21149698575506146,-0.0887432306184532,0.18796033853684194
2018,Non_City_Counties,Principal_Residence,total_apps,384,0.14743411461992162,14130.374230850168,199.21818181818185,3.1041743563067156e-93,-109.95818181818191,3.227228103504094e-14,-105.99595959595962,0.009091162180808184
2018,Non_City_Counties,Principal_Residence,denial_rate,383,0.11118340503770785,0.010287359276650357,0.12753305728705394,1.4265996802189369e-64,0.0789363199465221,1.2718625960290253e-10,0.08775912869449692,0.011345995121292066
2018,Non_City_Counties,Principal_Residence,conversion_rate,384,0.13167883036296069,0.009482137382211668,0.6804301699457894,1.647379685512393e-298,-0.08334654012525415,1.6800858357143418e-12,-0.09196780565544738,0.005753780630001247
2018,Non_City_Counties,Second_Residence,total_apps,319,0.0280658726076356,13.72264664525201,4.489711934156379,1.8272186570849756e-53,-1.4897119341563805,0.003237971389642177,-1.2897119341563759,0.4436657950934052
2018,Non_City_Counties,Second_Residence,denial_rate,304,0.03914748837837123,0.05462062371691812,0.11906465875433975,1.110333797895539e-13,0.0959895110617348,0.004236877991290442,0.23093534124566018,0.030358475775335736
2018,Non_City_Counties,Second_Residence,conversion_rate,319,0.032262278900379915,0.08596315028331222,0.7204089624568928,3.111547625099834e-120,-0.12719411783359763,0.0015109717024754405,-0.10040896245689233,0.45114471058497285
2019,City_Counties,Investment_Property,total_apps,323,0.08388244268001177,73.1523851723542,9.075675675675676,1.8516839471259903e-36,3.3697788697788686,0.001246282893664838,8.602895752895753,1.2783496072706202e-06
2019,City_Counties,Investment_Property,denial_rate,318,0.01583595611713029,0.02367729870298485,0.11922589906578247,5.52226288843537e-22,0.03634366450916407,0.053845777454036854,-0.021658462545947228,0.49064311405834193
2019,City_Counties,Investment_Property,conversion_rate,323,0.012822801152875374,0.04401633315330453,0.671963433998237,5.1760039633065455e-136,-0.051734318374425436,0.04231883891818201,-0.01797382213696401,0.6743909396486264
2019,City_Counties,Principal_Residence,total_apps,333,0.0673857544967903,9044.65342218649,139.7157894736842,1.7958321309035176e-59,-54.96796338672769,1.7347632931897733e-06,-27.465789473684236,0.1564849281389146
2019,City_Counties,Principal_Residence,denial_rate,333,0.11127633021294103,0.0052579223024388395,0.1041898588804276,9.887460138280022e-58,0.054395738214378965,8.439035311736023e-10,0.0373279439104504,0.011819147826057532
2019,City_Counties,Principal_Residence,conversion_rate,333,0.09805336574867218,0.007882436034175655,0.6954468371614961,6.935470818486112e-259,-0.05638799017556757,1.6363813743278494e-07,-0.06864093159638171,0.0001709257246996119
2019,City_Counties,Second_Residence,total_apps,254,0.02870528741430023,12.785873320526418,4.1886792452830175,1.1833698894962355e-35,-1.2021927587965313,0.018300593166419136,-1.4743935309973053,0.0787144629462714
2019,City_Counties,Second_Residence,denial_rate,233,0.0068477826451678325,0.06894479079643578,0.14556499436636414,2.047758702131038e-10,0.03980577085514735,0.3084610237793237,-0.033064994366364224,0.6002719522951692
